,job_title,salary_min,salary_max,company_name,company_location,link
16,IT Service Asset Administrator,"62,255.85","70,557.73",BC Pension Corporation,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=5433237726923004&bb=GQNvVje14o-vuPVY5Vk4SlukisqMn_DzTqcLyzIU2MDKpr7AY7YgovPi1K6IGexnwrqmzhKuPD2pLsEPzROZKCTiEd4Ua5BJVicu20mpxGk%3D&xkcb=SoBz67M3H8oBngzRip0LbzkdCdPP&fccid=e7b1be72b046a76c&vjs=3
17,Software Programmer Applied Science,click link to find,click link to find,Precision MicroDynamics (PMDi),"Victoria, BC",https://ca.indeed.com/rc/clk?jk=34d26862f4885e24&bb=GQNvVje14o-vuPVY5Vk4Sg-4eht69iC9LWtWrvGB0yzYureIIFHi6fX4nrrfMJf312KGULoxxZclz2E2VMoRhOooTvD-znV5U0DHaVb7FVk%3D&xkcb=SoDH67M3H8oBngzRip0KbzkdCdPP&fccid=56b377d3a1cfd497&vjs=3
18,Senior Full Stack Web Developer,40,50,Ecofish Research,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=0162cef56edee79a&bb=GQNvVje14o-vuPVY5Vk4SqZyTUANhwJ3Bp7QD-y2ew21se4juuGuyP3Y5j-HV6xdxVYAfUrVEiSeHwn4-tWt2afhmK2ch8bqVCW47PMbFFk%3D&xkcb=SoBa67M3H8oBngzRip0JbzkdCdPP&fccid=55ff9293d40eff74&vjs=3
19,ISL 24R - Intermediate Technical Analyst - Closing date extended,"78,729.94","89,687.19",BC Public Service,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=1c601ceca2176ac8&bb=GQNvVje14o-vuPVY5Vk4SkiWBBkPxq5nteMWkm12dlfLhZ5s4Ko3nl3uyJFaKxemVGWab1MWXBJsDoO0whzsZet4xqW-j5dZHnnkMF0O4JQ%3D&xkcb=SoDu67M3H8oBngzRip0IbzkdCdPP&fccid=65dd05622a756445&vjs=3
20,Software Engineer,click link to find,click link to find,Blastworks,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=dcc7960fd9b510bd&bb=GQNvVje14o-vuPVY5Vk4Sr-QQiq0PgnlVQiwvsSBjKkkq8dtvOqRc1JkesX1ktwEqzPCKQMsP-WpnZA1dg9JMfgMHd3g3c43UbuTrFXCRK8%3D&xkcb=SoBg67M3H8oBngzRip0PbzkdCdPP&fccid=1065ffb4f3a2f402&vjs=3
21,Technical Support Analyst at Acturis Canada,"52,500","54,500",Acturis,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=8d5dd1f7b1adada4&bb=GQNvVje14o-vuPVY5Vk4Sv2QvFzr2slYuuTMdzzeHi-yv9B6LNeCE40ciipw60zbLb7zjY8qEo9SYhi2XmPdcemIcD0xubrCm1o6g_3XDpg%3D&xkcb=SoDU67M3H8oBngzRip0ObzkdCdPP&fccid=7a16ace240110619&vjs=3
22,Senior Full Stack Developer,click link to find,click link to find,Animikii,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=a8f0a715866b2a3b&bb=GQNvVje14o-vuPVY5Vk4SgTXOhYkTPX3cl_a92TjJePvljSIEjLJIKbrIJBv9goV-N3Qyeoelt4_ZnNwQtYh-CRhqDkV7mdVk4WI0Ve6kqE%3D&xkcb=SoBJ67M3H8oBngzRip0NbzkdCdPP&fccid=fb5f68ee5a785ae1&cmp=Animikii-Inc.&ti=Full+Stack+Developer&vjs=3
23,System Simulation Engineer,"116,500","174,660",INTEL,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=8987a5c381505229&bb=GQNvVje14o-vuPVY5Vk4Sk2S_aEalZHos76vNmKNzdCHPuitmVlfWGbG_kQvOQNtpYoswAdkfXDjhI02T9Qz6k4l4uZ2Rumde3fOFdDoqxk%3D&xkcb=SoD967M3H8oBngzRip0MbzkdCdPP&fccid=936367796261bd6e&vjs=3
24,Mobile Developer : Swift,click link to find,click link to find,OneNet Marketing,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=dc380a16e560aac5&bb=GQNvVje14o-vuPVY5Vk4Sg-4eht69iC9Hl6I_L4Fv2JLbZlaJOdJUQuL5m1ZjVGR_DGOdlhMKD1IW8ANKcWDyDnk1gR79aDmRxtIpLwI0Cw%3D&xkcb=SoAU67M3H8oBngzRip0DbzkdCdPP&fccid=916f04a55fb5fb94&vjs=3
25,Jr Wildlife Rehabilitator - 315 - Wild Arc,19.11,none,BCSPCA,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=2e2541547ea92aa7&bb=GQNvVje14o-vuPVY5Vk4SqPPTlCEROaUAzKIQAD4eZrT5W1pC78quk9v-ceHPqcnvh_eiNyrK7s488WLcKV6xLZMo9OugsjhppCXqZKrBCk%3D&xkcb=SoCg67M3H8oBngzRip0CbzkdCdPP&fccid=8bc79ee5fda6153c&vjs=3
