index,job_title,salary_min,salary_max,company_name,company_location,link
10,Software Engineer II,not given,not given,Mastercard,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=a2cc0a07624140e2&bb=jckC-1UVdc-br1lKXaW_Y3Oar7LziWTOuKTy350O7qlsadeTAg-6FkkMXYA6k86F&xkcb=SoBk67M3H8zbgP2NtJ0JbzkdCdPP&fccid=10b5c722d846df43&vjs=3
11,Jr. Engineer – Core Platform,"70,000",none,Rycor Solutions Inc.,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=f14c4cf10595a690&bb=jckC-1UVdc9N_chGUfNQgVSQRzkHhb9RmdOZsIwO0zidE0woC_H9-fk342wXyGth&xkcb=SoBe67M3H8zbgP2NtJ0PbzkdCdPP&fccid=b75a135f89cbc6ef&cmp=Rycor-Solutions-Inc.&ti=Platform+Engineer&vjs=3
12,Software Engineer - Tools & Framework,not given,not given,Apple,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=d87bc1227767d6e1&bb=bpzqmApEDIq8xfXeStYvePg89oDq2RaJJbgLI_KpzTvOl5-Szt2JNu1ar9c6FP15&xkcb=SoB367M3H8zbgOWNtJ0KbzkdCdPP&fccid=c1099851e9794854&vjs=3
13,Software Development Engineer Intern - 2024 (Canada),43.13,none,"Amazon Canada Fulfillment Services, ULC.","Vancouver, BC",https://ca.indeed.com/rc/clk?jk=c53863cf5448bcdd&bb=bpzqmApEDIq44e9Dvf0okgOLTP5LyIw7N2Wwdb8MN0c_miabfhojg3m_dyNYgOCC&xkcb=SoDQ67M3H8zbgOWNtJ0PbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
14,Technical Analyst (Applications),"87,926","114,912",Vancouver Airport Authority,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=5da4da5c80cd2328&bb=lfQZyF7pV1bR0i4zdLJKmuRg-B1CtZHOIyjgKnom39B-8GPD113Fb9Nfmy8rAPiq&xkcb=SoAy67M3H8zbgO2NtJ0KbzkdCdPP&fccid=b5de3c5c688e58c1&vjs=3
15,Software Development Engineer Intern - 2024 (Canada),43.13,none,"Amazon Canada Fulfillment Services, ULC.","Vancouver, BC",https://ca.indeed.com/rc/clk?jk=c53863cf5448bcdd&bb=QbRmDCjyLZdgAy_3TrwtqCMNLz6oz_SaMZ8APkciS8VCJy-9GNnb_Gu3K-si_dv_&xkcb=SoDC67M3H8zbZrWNph0LbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
16,Research Intern (Computer Vision/Natural Language Processing) - 2024 Summer (BS/MS/Ph.D),"87,360","108,168",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=8e1ca21ad466e350&bb=QbRmDCjyLZdhG7wCaKSgS5i7Iob9TWReXGrADrpbe2DIIiCyC4Lvy9KeNtBI7YUd&xkcb=SoDr67M3H8zbZrWNph0JbzkdCdPP&fccid=caed318a9335aac0&vjs=3
17,Frontend Developer I (FME Flow),"75,800","88,000",Safe Software Inc.,"Hybrid remote in Surrey, BC",https://ca.indeed.com/rc/clk?jk=f83d54d478dad6af&bb=M9KVCDFfMHAGqE_eP9e9u31VGVjBkM2Vfu5zLlPJfKjTXAFjscFiBn8l8--8W1pk&xkcb=SoCU67M3H8zbZr2Nph0PbzkdCdPP&fccid=80158ed4a2c1103c&vjs=3
18,Software Developer (Entry Level),"80,000","95,000",Konrad,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=c7f9cf1105cf1734&bb=M9KVCDFfMHAjrsxqGTabkjvsm5pdsqjTGIwMlWnnbKpXhhGevDzH5VtfOS-ErCXF&xkcb=SoC967M3H8zbZr2Nph0NbzkdCdPP&fccid=0d0aa2b77d8a011b&vjs=3
19,Senior Technical Architect,not given,not given,TradeBeyond (CBX Software),"Vancouver, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ArNyk2sn6sEDn5Q_tuFBCCD7AJQMdx2ySJq0DxClspJCt6Kd_XBbOE4lvTnUHOl4CaLdA28eU88D5Rf2REOeheFbFuYwY6r0slnNzNGkw7MvhSKhch2aZSsmVysW_m-h2nskq6mBbZ4v7BZy0AqUOvekVI1OY56Okag0-BUinfSjXphIdduAUnsDDUcUqSQD4RvbMDXg48RdpHjoN4Rm7S8tXR-46y7aZHUx4ZdPbKK4p1FY6Q4LsM3OXZ-0H7Yl6ea59OOCuOd-_BvkwbqwUebeI8IBDDCirB8jxZO3AhMySJGibyq39B6FUQZpo-K6PosVDRnYSdb9iYVeGDoEt91hbip3Sc5czlmHheYzEKTnSQ6c2sS9uPPOrfOg3CmWN44Vjh9LrBm9zBzJ3Zzm1TWn53xTIJL831orOlKlH0eBGNynpdaD-91mkLHKgh_VKM5cOOhlixTzwPYCedNoCRAyHEZfKn9LAC3c0InEe6OglXOEJhAu_j4-Oo0cYTIBfYhZPwgdz2QtIxZBfr2S-xHIjAzA0A7wbsJhL-K95MRwar0CEjN4IUVgbrqaAQWKEp37HCJIkS7CnRXtANJmtZx01OJEm8Ljzrpy3A3dKHcKdhOomLWBNVXBXwOUyShhxLbecfLO837B07VWcVxsIy&xkcb=SoDm6_M3H8zbYaQ4h50PbzkdCdPP&p=4&fvj=1&vjs=3
20,Computer Science Course Coordinator,"4,826.17","6,933.92",University of British Columbia,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=85fc3a21581492aa&bb=T8jRIzUxyO58Cb0rxpe-5rOw_BUxlL1buNMPU4PrVIdubUua3X76LFyLXDLZ_oR8&xkcb=SoC967M3H8zbZqWNph0KbzkdCdPP&fccid=462e6068c17c7702&vjs=3
21,Software Engineer,50,53,Parallel 49 Realty,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=4775413cd6426959&bb=7EB30GhjOD1x1i0ZUYUEhBpti1EULnZl5R9zyZDZhj9FM47FFcltxkE0HK7xqvyq&xkcb=SoD467M3H8zbZq2Nph0KbzkdCdPP&fccid=b501285cc6df53f1&cmp=Parallel-49-Realty&ti=Software+Engineer&vjs=3
22,Desktop Support Analyst,"56,700",none,Central 1 Credit Union,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=931909ca08e57998&bb=7EB30GhjOD2unSFKN_O6GkVMxs3EYIDj7Q9Pd2n9pR2twbcj31dQHfEx7UxmMabc&xkcb=SoDR67M3H8zbZq2Nph0IbzkdCdPP&fccid=9579d885a2b359cc&vjs=3
23,DevOps Analyst,"78,000","89,000",LMI Technologies,"Hybrid remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=c320d5e8fcaa888a&bb=fwjDofwC2AGr1MCv7Ydie5x0xHAA3QIJWovQxgQ2I3asvi6BMLyN743qJtmZV4bg&xkcb=SoAh67M3H8zbZVWNph0KbzkdCdPP&fccid=880b20a00eb8c968&vjs=3
24,Business Analyst,"80,000","110,000",Lordco Parts Ltd.,"Port Coquitlam, BC",https://ca.indeed.com/rc/clk?jk=2f6f2ca84400ae92&bb=fwjDofwC2AH5HYf5QvA7zmllVKTo9b4EeIwFFjyH8Z-Z4bmXRyucnaWN5eFz1YQJ&xkcb=SoAI67M3H8zbZVWNph0IbzkdCdPP&fccid=8d522ae1f1331f8b&vjs=3
25,Software Application Engineer,"98,400","147,600",Workday,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=504514fc94fd1f9f&bb=fwjDofwC2AH9hBno8q0CizI24himaaFk1JTTScWCCqwqyj3Y1cqQ2xWuVQ__Mv4f&xkcb=SoAy67M3H8zbZVWNph0ObzkdCdPP&fccid=9ac45d217f8342a1&vjs=3
26,Computer Network Technician,31.32,33.32,E-Fresh Food Ltd.,"Richmond, BC",https://ca.indeed.com/rc/clk?jk=9f0e8be1dcd9b224&bb=TfU2meRyTaXYpVr9T-M-HvShkb5TGOe4nGYE9dEaPtFI6R82UiNjjePWurMxkmyc&xkcb=SoDQ67M3H8zbZV2Nph0LbzkdCdPP&fccid=e62014af76452b53&cmp=HE-Global-Immigration-Consultancy-Ltd.&ti=Computer+Technician&vjs=3
27,Jr. Software Engineer in Test – axiUm,not given,not given,Henry Schein One,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=48e9720eaac2c58f&bb=TfU2meRyTaXW7W8mDr4fi1xs4bQMuI1IZG0cfGTiypi7XjA4DUwOD5ThJCeNAfZZ&xkcb=SoD567M3H8zbZV2Nph0JbzkdCdPP&fccid=24d4106b46dfd580&vjs=3
28,Software Development Engineer in Test Graduate (Trust and Safety) - 2024 Start (BS/MS),"102,400","163,200",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=b58d4b8da0318b8f&bb=TfU2meRyTaX2u0j4qdmTCrmEVQZqj-TmbMtusuhyhMNtAnovl8hx8eXHdSzUI5Ue&xkcb=SoDD67M3H8zbZV2Nph0PbzkdCdPP&fccid=caed318a9335aac0&vjs=3
29,Software Engineer,"95,000","145,000",Arista Networks,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=7c07ef3036fe900c&bb=TfU2meRyTaWDhBoqLse_epW6PqdYgsBt45DYtZTzr2267p1yEs_PkAONjqwvt5qe&xkcb=SoDq67M3H8zbZV2Nph0NbzkdCdPP&fccid=da9c8368867819c9&vjs=3
30,Software Developer,47,50,EVACA,"Burnaby, BC",https://ca.indeed.com/rc/clk?jk=9201513dd5ce1b12&bb=SBTpo0UdGzIzfgCSwlMpRVcDZ-IKty9npqVC7DCeKoAF05ZMKY30RBwD68HGSY4l&xkcb=SoBw67M3H8za1m2NtJ0LbzkdCdPP&fccid=8c0cf9b247305ffd&cmp=EVACA&ti=Software+Engineer&vjs=3
31,Skype Senior Software Engineer,"104,000","193,200",Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=ffbece740cbf3f14&bb=77_gCTB8I15B9OOlsx__49ekXdNU9HbRS9DIXdhx9KzRDNoLp7z4oKJa1INEaaKF&xkcb=SoDG67M3H8za1hWNtJ0LbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
32,Data Engineer - Ads Data,"136,800","205,000",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=2bcf6d03839e85cd&bb=77_gCTB8I15XMyCYMpnTkWFsw6oM8y5VNGFP8aavh9o7MbVixhmz94KL9JStKcBR&xkcb=SoDv67M3H8za1hWNtJ0JbzkdCdPP&fccid=caed318a9335aac0&vjs=3
33,"Backend Software Engineer, Trust and Safety Engineering - 2024 Start(BS/MS)",not given,not given,TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=177d2fff3cbf264a&bb=77_gCTB8I143t-ZhDwfvj5a7M_XYUjgdepo9hDvHS3RpP8ayxFip72p1BFLGtId3&xkcb=SoDV67M3H8za1hWNtJ0PbzkdCdPP&fccid=caed318a9335aac0&vjs=3
34,"Software Development Engineer in Test - Trust and Safety, TikTok (Canada)","112,320","237,120",TikTok,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=4508e6c0ce97344f&bb=AMiJMhjmZSBX6rtTGubKGGsgW_Y5oGU3dp-vZeyozne1xixnxqudTNAuv4IO-4mu&xkcb=SoCD67M3H8za1h2NtJ0LbzkdCdPP&fccid=caed318a9335aac0&vjs=3
35,Senior Software Engineer,"104,000","193,200",Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=7a70bcb5608c633b&bb=AMiJMhjmZSCwlJNcoA7OxPgXm3pXoMXLflDFwRvr8RHa-WOR_n1Gj68Cy_aNtP05&xkcb=SoCq67M3H8za1h2NtJ0JbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
36,"Software Engineer, Product","146,000","224,000",Asana,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=279fc3a94d329dd9&bb=AMiJMhjmZSDziPApty3AyVZS-AHznhNlm4MXVtIeKKTYXXsBX7DfE6qxYvTWyhSG&xkcb=SoCQ67M3H8za1h2NtJ0PbzkdCdPP&fccid=3a5192e8900e19bd&vjs=3
37,"Intern, Software Engineering",not given,not given,Analog Devices,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=508cd6577cbf5496&bb=AMiJMhjmZSD9taQ0N_gS1OvvC_7QVC9808DB2ziL4QuclSdeSIlyvjI46LOsd496&xkcb=SoC567M3H8za1h2NtJ0NbzkdCdPP&fccid=795688f508690d17&vjs=3
38,Software Developer,not given,not given,D2L,"Remote in Vancouver, BC",https://ca.indeed.com/rc/clk?jk=f0385d7ffce98fb5&bb=Ry8HENahncjk4KKMDAB7G90zVCFIaqQoh-8QAm9InAIh51qmSA61gG4jc5IZHjRr&xkcb=SoC567M3H8za1gWNtJ0KbzkdCdPP&fccid=7c3a25cdc8e47610&vjs=3
39,Applied Scientist,"79,600","153,000",Microsoft,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=ca6d87abd72d3c0c&bb=Ry8HENahncjQcUkw9e-sck8UmMUxujhf2sRx7DLKx8XtvqgmJtavBdAAkWpr6d5m&xkcb=SoCQ67M3H8za1gWNtJ0IbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
